region,timestamp,metric,value,unit
NSW1,2025-01-01 00:00:00+10:00,price,124.35667,$/MWh
NSW1,2025-01-01 01:00:00+10:00,price,109.7075,$/MWh
NSW1,2025-01-01 02:00:00+10:00,price,104.36167,$/MWh
NSW1,2025-01-01 03:00:00+10:00,price,103.73833,$/MWh
NSW1,2025-01-01 04:00:00+10:00,price,102.45,$/MWh
NSW1,2025-01-01 05:00:00+10:00,price,90.5325,$/MWh
NSW1,2025-01-01 06:00:00+10:00,price,0.6625,$/MWh
NSW1,2025-01-01 07:00:00+10:00,price,-28.304167,$/MWh
NSW1,2025-01-01 08:00:00+10:00,price,-15.328333,$/MWh
NSW1,2025-01-01 09:00:00+10:00,price,-32.999167,$/MWh
NSW1,2025-01-01 10:00:00+10:00,price,-34.048333,$/MWh
NSW1,2025-01-01 11:00:00+10:00,price,-31.9475,$/MWh
NSW1,2025-01-01 12:00:00+10:00,price,-4.3916667,$/MWh
NSW1,2025-01-01 13:00:00+10:00,price,40.989167,$/MWh
NSW1,2025-01-01 14:00:00+10:00,price,79.0575,$/MWh
NSW1,2025-01-01 15:00:00+10:00,price,90.3325,$/MWh
NSW1,2025-01-01 16:00:00+10:00,price,110.86583,$/MWh
NSW1,2025-01-01 17:00:00+10:00,price,105.15917,$/MWh
NSW1,2025-01-01 18:00:00+10:00,price,144.90333,$/MWh
NSW1,2025-01-01 19:00:00+10:00,price,110.42083,$/MWh
NSW1,2025-01-01 20:00:00+10:00,price,79.96,$/MWh
NSW1,2025-01-01 21:00:00+10:00,price,85.99,$/MWh
NSW1,2025-01-01 22:00:00+10:00,price,210.5425,$/MWh
NSW1,2025-01-01 23:00:00+10:00,price,96.150833,$/MWh
NSW1,2025-01-02 00:00:00+10:00,price,82.338333,$/MWh
NSW1,2025-01-02 01:00:00+10:00,price,78.295,$/MWh
NSW1,2025-01-02 02:00:00+10:00,price,75.983333,$/MWh
NSW1,2025-01-02 03:00:00+10:00,price,76.0,$/MWh
NSW1,2025-01-02 04:00:00+10:00,price,74.848333,$/MWh
NSW1,2025-01-02 05:00:00+10:00,price,66.856667,$/MWh
NSW1,2025-01-02 06:00:00+10:00,price,20.4225,$/MWh
NSW1,2025-01-02 07:00:00+10:00,price,71.595,$/MWh
NSW1,2025-01-02 08:00:00+10:00,price,61.751667,$/MWh
NSW1,2025-01-02 09:00:00+10:00,price,37.9575,$/MWh
NSW1,2025-01-02 10:00:00+10:00,price,56.2075,$/MWh
NSW1,2025-01-02 11:00:00+10:00,price,0.1125,$/MWh
NSW1,2025-01-02 12:00:00+10:00,price,-34.079167,$/MWh
NSW1,2025-01-02 13:00:00+10:00,price,24.606667,$/MWh
NSW1,2025-01-02 14:00:00+10:00,price,35.715833,$/MWh
NSW1,2025-01-02 15:00:00+10:00,price,44.295,$/MWh
NSW1,2025-01-02 16:00:00+10:00,price,65.724167,$/MWh
NSW1,2025-01-02 17:00:00+10:00,price,64.04,$/MWh
NSW1,2025-01-02 18:00:00+10:00,price,72.425833,$/MWh
NSW1,2025-01-02 19:00:00+10:00,price,82.994167,$/MWh
NSW1,2025-01-02 20:00:00+10:00,price,75.046667,$/MWh
NSW1,2025-01-02 21:00:00+10:00,price,79.629167,$/MWh
NSW1,2025-01-02 22:00:00+10:00,price,80.773333,$/MWh
NSW1,2025-01-02 23:00:00+10:00,price,86.396667,$/MWh
NSW1,2025-01-03 00:00:00+10:00,price,81.514167,$/MWh
NSW1,2025-01-03 01:00:00+10:00,price,76.793333,$/MWh
NSW1,2025-01-03 02:00:00+10:00,price,77.566667,$/MWh
NSW1,2025-01-03 03:00:00+10:00,price,78.211667,$/MWh
NSW1,2025-01-03 04:00:00+10:00,price,78.495,$/MWh
NSW1,2025-01-03 05:00:00+10:00,price,70.634167,$/MWh
NSW1,2025-01-03 06:00:00+10:00,price,-3.3116667,$/MWh
NSW1,2025-01-03 07:00:00+10:00,price,-9.0366667,$/MWh
NSW1,2025-01-03 08:00:00+10:00,price,63.155833,$/MWh
NSW1,2025-01-03 09:00:00+10:00,price,99.971667,$/MWh
NSW1,2025-01-03 10:00:00+10:00,price,23.8425,$/MWh
NSW1,2025-01-03 11:00:00+10:00,price,-34.964167,$/MWh
NSW1,2025-01-03 12:00:00+10:00,price,-29.769167,$/MWh
NSW1,2025-01-03 13:00:00+10:00,price,-25.3275,$/MWh
NSW1,2025-01-03 14:00:00+10:00,price,-22.370833,$/MWh
NSW1,2025-01-03 15:00:00+10:00,price,-27.503333,$/MWh
NSW1,2025-01-03 16:00:00+10:00,price,1.0125,$/MWh
NSW1,2025-01-03 17:00:00+10:00,price,95.5475,$/MWh
NSW1,2025-01-03 18:00:00+10:00,price,174.2175,$/MWh
NSW1,2025-01-03 19:00:00+10:00,price,193.0,$/MWh
NSW1,2025-01-03 20:00:00+10:00,price,133.4575,$/MWh
NSW1,2025-01-03 21:00:00+10:00,price,115.1775,$/MWh
NSW1,2025-01-03 22:00:00+10:00,price,113.59667,$/MWh
NSW1,2025-01-03 23:00:00+10:00,price,98.315833,$/MWh
NSW1,2025-01-04 00:00:00+10:00,price,92.735,$/MWh
NSW1,2025-01-04 01:00:00+10:00,price,88.52,$/MWh
NSW1,2025-01-04 02:00:00+10:00,price,88.670833,$/MWh
NSW1,2025-01-04 03:00:00+10:00,price,89.735833,$/MWh
NSW1,2025-01-04 04:00:00+10:00,price,96.853333,$/MWh
NSW1,2025-01-04 05:00:00+10:00,price,78.008333,$/MWh
NSW1,2025-01-04 06:00:00+10:00,price,-18.38,$/MWh
NSW1,2025-01-04 07:00:00+10:00,price,-25.535,$/MWh
NSW1,2025-01-04 08:00:00+10:00,price,-30.819167,$/MWh
NSW1,2025-01-04 09:00:00+10:00,price,-34.120833,$/MWh
NSW1,2025-01-04 10:00:00+10:00,price,-35.379167,$/MWh
NSW1,2025-01-04 11:00:00+10:00,price,-26.9025,$/MWh
NSW1,2025-01-04 12:00:00+10:00,price,12.3275,$/MWh
NSW1,2025-01-04 13:00:00+10:00,price,41.716667,$/MWh
NSW1,2025-01-04 14:00:00+10:00,price,32.323333,$/MWh
NSW1,2025-01-04 15:00:00+10:00,price,87.506667,$/MWh
